corpus_id,issuer_id,company,ticker,cik,observation_scope,event_count,status,source_artifact_url
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,coreweave,"CoreWeave, Inc.",CRWV,0001769628,0001769628-25-000041 to 0001769628-26-000366,14,event-observed,https://ahasignals.com/data/filing-delta/coreweave/revision-ledgers/crwv-revision-ledger-2026-q2-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,nvidia,NVIDIA Corporation,NVDA,0001045810,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,0,no-event-in-compared-artifacts,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,amd,"Advanced Micro Devices, Inc.",AMD,0000002488,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,0,no-event-in-compared-artifacts,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,arista-networks,"Arista Networks, Inc.",ANET,0001596532,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,0,no-event-in-compared-artifacts,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,marvell,"Marvell Technology, Inc.",MRVL,0001835632,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,0,no-event-in-compared-artifacts,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,super-micro,"Super Micro Computer, Inc.",SMCI,0001375365,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,4,event-observed,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,dell,Dell Technologies Inc.,DELL,0001571996,ai-infrastructure-cross-section-2026-08-31-v1 to ai-infrastructure-cross-section-2026-09-01-v2,0,no-event-in-compared-artifacts,https://ahasignals.com/data/filing-delta/cross-section/revision-ledgers/ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1.json
